table,analysis,expectedResult,threshold
Table1_50.rt,completeness,Incomplete,50
Table1_50.rt,consistency,Inconsistent,50
Table2_50.rt,completeness,Complete,50
Table2_50.rt,consistency,Inconsistent,50
Table3_50.rt,completeness,Incomplete,50
Table3_50.rt,consistency,Consistent,50
Table4_50.rt,completeness,Complete,50
Table4_50.rt,consistency,Consistent,50
Table1_100.rt,completeness,Incomplete,100
Table1_100.rt,consistency,Inconsistent,100
Table2_100.rt,completeness,Complete,100
Table2_100.rt,consistency,Inconsistent,100
Table3_100.rt,completeness,Incomplete,100
Table3_100.rt,consistency,Consistent,100
Table4_100.rt,completeness,Complete,100
Table4_100.rt,consistency,Consistent,100
Table1_150.rt,completeness,Incomplete,150
Table1_150.rt,consistency,Inconsistent,150
Table2_150.rt,completeness,Complete,150
Table2_150.rt,consistency,Inconsistent,150
Table3_150.rt,completeness,Incomplete,150
Table3_150.rt,consistency,Consistent,150
Table4_150.rt,completeness,Complete,150
Table4_150.rt,consistency,Consistent,150
Table1_200.rt,completeness,Incomplete,200
Table1_200.rt,consistency,Inconsistent,200
Table2_200.rt,completeness,Complete,200
Table2_200.rt,consistency,Inconsistent,200
Table3_200.rt,completeness,Incomplete,200
Table3_200.rt,consistency,Consistent,200
Table4_200.rt,completeness,Complete,200
Table4_200.rt,consistency,Consistent,200
Table1_250.rt,completeness,Incomplete,250
Table1_250.rt,consistency,Inconsistent,250
Table2_250.rt,completeness,Complete,250
Table2_250.rt,consistency,Inconsistent,250
Table3_250.rt,completeness,Incomplete,250
Table3_250.rt,consistency,Consistent,250
Table4_250.rt,completeness,Complete,250
Table4_250.rt,consistency,Consistent,250
Table1_300.rt,completeness,Incomplete,300
Table1_300.rt,consistency,Inconsistent,300
Table2_300.rt,completeness,Complete,300
Table2_300.rt,consistency,Inconsistent,300
Table3_300.rt,completeness,Incomplete,300
Table3_300.rt,consistency,Consistent,300
Table4_300.rt,completeness,Complete,300
Table4_300.rt,consistency,Consistent,300
Table1_350.rt,completeness,Incomplete,350
Table1_350.rt,consistency,Inconsistent,350
Table2_350.rt,completeness,Complete,350
Table2_350.rt,consistency,Inconsistent,350
Table3_350.rt,completeness,Incomplete,350
Table3_350.rt,consistency,Consistent,350
Table4_350.rt,completeness,Complete,350
Table4_350.rt,consistency,Consistent,350
Table1_400.rt,completeness,Incomplete,400
Table1_400.rt,consistency,Inconsistent,400
Table2_400.rt,completeness,Complete,400
Table2_400.rt,consistency,Inconsistent,400
Table3_400.rt,completeness,Incomplete,400
Table3_400.rt,consistency,Consistent,400
Table4_400.rt,completeness,Complete,400
Table4_400.rt,consistency,Consistent,400
Table1_450.rt,completeness,Incomplete,450
Table1_450.rt,consistency,Inconsistent,450
Table2_450.rt,completeness,Complete,450
Table2_450.rt,consistency,Inconsistent,450
Table3_450.rt,completeness,Incomplete,450
Table3_450.rt,consistency,Consistent,450
Table4_450.rt,completeness,Complete,450
Table4_450.rt,consistency,Consistent,450
Table1_500.rt,completeness,Incomplete,500
Table1_500.rt,consistency,Inconsistent,500
Table2_500.rt,completeness,Complete,500
Table2_500.rt,consistency,Inconsistent,500
Table3_500.rt,completeness,Incomplete,500
Table3_500.rt,consistency,Consistent,500
Table4_500.rt,completeness,Complete,500
Table4_500.rt,consistency,Consistent,500
Table1_550.rt,completeness,Incomplete,550
Table1_550.rt,consistency,Inconsistent,550
Table2_550.rt,completeness,Complete,550
Table2_550.rt,consistency,Inconsistent,550
Table3_550.rt,completeness,Incomplete,550
Table3_550.rt,consistency,Consistent,550
Table4_550.rt,completeness,Complete,550
Table4_550.rt,consistency,Consistent,550
Table1_600.rt,completeness,Incomplete,600
Table1_600.rt,consistency,Inconsistent,600
Table2_600.rt,completeness,Complete,600
Table2_600.rt,consistency,Inconsistent,600
Table3_600.rt,completeness,Incomplete,600
Table3_600.rt,consistency,Consistent,600
Table4_600.rt,completeness,Complete,600
Table4_600.rt,consistency,Consistent,600
Table1_650.rt,completeness,Incomplete,650
Table1_650.rt,consistency,Inconsistent,650
Table2_650.rt,completeness,Complete,650
Table2_650.rt,consistency,Inconsistent,650
Table3_650.rt,completeness,Incomplete,650
Table3_650.rt,consistency,Consistent,650
Table4_650.rt,completeness,Complete,650
Table4_650.rt,consistency,Consistent,650
Table1_700.rt,completeness,Incomplete,700
Table1_700.rt,consistency,Inconsistent,700
Table2_700.rt,completeness,Complete,700
Table2_700.rt,consistency,Inconsistent,700
Table3_700.rt,completeness,Incomplete,700
Table3_700.rt,consistency,Consistent,700
Table4_700.rt,completeness,Complete,700
Table4_700.rt,consistency,Consistent,700
Table1_750.rt,completeness,Incomplete,750
Table1_750.rt,consistency,Inconsistent,750
Table2_750.rt,completeness,Complete,750
Table2_750.rt,consistency,Inconsistent,750
Table3_750.rt,completeness,Incomplete,750
Table3_750.rt,consistency,Consistent,750
Table4_750.rt,completeness,Complete,750
Table4_750.rt,consistency,Consistent,750
Table1_800.rt,completeness,Incomplete,800
Table1_800.rt,consistency,Inconsistent,800
Table2_800.rt,completeness,Complete,800
Table2_800.rt,consistency,Inconsistent,800
Table3_800.rt,completeness,Incomplete,800
Table3_800.rt,consistency,Consistent,800
Table4_800.rt,completeness,Complete,800
Table4_800.rt,consistency,Consistent,800
Table1_850.rt,completeness,Incomplete,850
Table1_850.rt,consistency,Inconsistent,850
Table2_850.rt,completeness,Complete,850
Table2_850.rt,consistency,Inconsistent,850
Table3_850.rt,completeness,Incomplete,850
Table3_850.rt,consistency,Consistent,850
Table4_850.rt,completeness,Complete,850
Table4_850.rt,consistency,Consistent,850
Table1_900.rt,completeness,Incomplete,900
Table1_900.rt,consistency,Inconsistent,900
Table2_900.rt,completeness,Complete,900
Table2_900.rt,consistency,Inconsistent,900
Table3_900.rt,completeness,Incomplete,900
Table3_900.rt,consistency,Consistent,900
Table4_900.rt,completeness,Complete,900
Table4_900.rt,consistency,Consistent,900
Table1_950.rt,completeness,Incomplete,950
Table1_950.rt,consistency,Inconsistent,950
Table2_950.rt,completeness,Complete,950
Table2_950.rt,consistency,Inconsistent,950
Table3_950.rt,completeness,Incomplete,950
Table3_950.rt,consistency,Consistent,950
Table4_950.rt,completeness,Complete,950
Table4_950.rt,consistency,Consistent,950
Table1_1000.rt,completeness,Incomplete,1000
Table1_1000.rt,consistency,Inconsistent,1000
Table2_1000.rt,completeness,Complete,1000
Table2_1000.rt,consistency,Inconsistent,1000
Table3_1000.rt,completeness,Incomplete,1000
Table3_1000.rt,consistency,Consistent,1000
Table4_1000.rt,completeness,Complete,1000
Table4_1000.rt,consistency,Consistent,1000
Table1_1050.rt,completeness,Incomplete,1050
Table1_1050.rt,consistency,Inconsistent,1050
Table2_1050.rt,completeness,Complete,1050
Table2_1050.rt,consistency,Inconsistent,1050
Table3_1050.rt,completeness,Incomplete,1050
Table3_1050.rt,consistency,Consistent,1050
Table4_1050.rt,completeness,Complete,1050
Table4_1050.rt,consistency,Consistent,1050
Table1_1100.rt,completeness,Incomplete,1100
Table1_1100.rt,consistency,Inconsistent,1100
Table2_1100.rt,completeness,Complete,1100
Table2_1100.rt,consistency,Inconsistent,1100
Table3_1100.rt,completeness,Incomplete,1100
Table3_1100.rt,consistency,Consistent,1100
Table4_1100.rt,completeness,Complete,1100
Table4_1100.rt,consistency,Consistent,1100
Table1_1150.rt,completeness,Incomplete,1150
Table1_1150.rt,consistency,Inconsistent,1150
Table2_1150.rt,completeness,Complete,1150
Table2_1150.rt,consistency,Inconsistent,1150
Table3_1150.rt,completeness,Incomplete,1150
Table3_1150.rt,consistency,Consistent,1150
Table4_1150.rt,completeness,Complete,1150
Table4_1150.rt,consistency,Consistent,1150
Table1_1200.rt,completeness,Incomplete,1200
Table1_1200.rt,consistency,Inconsistent,1200
Table2_1200.rt,completeness,Complete,1200
Table2_1200.rt,consistency,Inconsistent,1200
Table3_1200.rt,completeness,Incomplete,1200
Table3_1200.rt,consistency,Consistent,1200
Table4_1200.rt,completeness,Complete,1200
Table4_1200.rt,consistency,Consistent,1200
Table1_1250.rt,completeness,Incomplete,1250
Table1_1250.rt,consistency,Inconsistent,1250
Table2_1250.rt,completeness,Complete,1250
Table2_1250.rt,consistency,Inconsistent,1250
Table3_1250.rt,completeness,Incomplete,1250
Table3_1250.rt,consistency,Consistent,1250
Table4_1250.rt,completeness,Complete,1250
Table4_1250.rt,consistency,Consistent,1250
Table1_1300.rt,completeness,Incomplete,1300
Table1_1300.rt,consistency,Inconsistent,1300
Table2_1300.rt,completeness,Complete,1300
Table2_1300.rt,consistency,Inconsistent,1300
Table3_1300.rt,completeness,Incomplete,1300
Table3_1300.rt,consistency,Consistent,1300
Table4_1300.rt,completeness,Complete,1300
Table4_1300.rt,consistency,Consistent,1300
Table1_1350.rt,completeness,Incomplete,1350
Table1_1350.rt,consistency,Inconsistent,1350
Table2_1350.rt,completeness,Complete,1350
Table2_1350.rt,consistency,Inconsistent,1350
Table3_1350.rt,completeness,Incomplete,1350
Table3_1350.rt,consistency,Consistent,1350
Table4_1350.rt,completeness,Complete,1350
Table4_1350.rt,consistency,Consistent,1350
Table1_1400.rt,completeness,Incomplete,1400
Table1_1400.rt,consistency,Inconsistent,1400
Table2_1400.rt,completeness,Complete,1400
Table2_1400.rt,consistency,Inconsistent,1400
Table3_1400.rt,completeness,Incomplete,1400
Table3_1400.rt,consistency,Consistent,1400
Table4_1400.rt,completeness,Complete,1400
Table4_1400.rt,consistency,Consistent,1400
Table1_1450.rt,completeness,Incomplete,1450
Table1_1450.rt,consistency,Inconsistent,1450
Table2_1450.rt,completeness,Complete,1450
Table2_1450.rt,consistency,Inconsistent,1450
Table3_1450.rt,completeness,Incomplete,1450
Table3_1450.rt,consistency,Consistent,1450
Table4_1450.rt,completeness,Complete,1450
Table4_1450.rt,consistency,Consistent,1450
Table1_1500.rt,completeness,Incomplete,1500
Table1_1500.rt,consistency,Inconsistent,1500
Table2_1500.rt,completeness,Complete,1500
Table2_1500.rt,consistency,Inconsistent,1500
Table3_1500.rt,completeness,Incomplete,1500
Table3_1500.rt,consistency,Consistent,1500
Table4_1500.rt,completeness,Complete,1500
Table4_1500.rt,consistency,Consistent,1500
Table1_1550.rt,completeness,Incomplete,1550
Table1_1550.rt,consistency,Inconsistent,1550
Table2_1550.rt,completeness,Complete,1550
Table2_1550.rt,consistency,Inconsistent,1550
Table3_1550.rt,completeness,Incomplete,1550
Table3_1550.rt,consistency,Consistent,1550
Table4_1550.rt,completeness,Complete,1550
Table4_1550.rt,consistency,Consistent,1550
Table1_1600.rt,completeness,Incomplete,1600
Table1_1600.rt,consistency,Inconsistent,1600
Table2_1600.rt,completeness,Complete,1600
Table2_1600.rt,consistency,Inconsistent,1600
Table3_1600.rt,completeness,Incomplete,1600
Table3_1600.rt,consistency,Consistent,1600
Table4_1600.rt,completeness,Complete,1600
Table4_1600.rt,consistency,Consistent,1600
