inputfile,table,encoding,check,result,expectedResult,time
./benchmarkTables/Table1_50.rt,Table1,UeArFs,completeness,Unknown,Incomplete,40.799
./benchmarkTables/Table1_50.rt,Table1,UeArVs,completeness,Unknown,Incomplete,29.003
./benchmarkTables/Table1_50.rt,Table1,UeUfFs,completeness,Unknown,Incomplete,20.733
./benchmarkTables/Table1_50.rt,Table1,UeUfVs,completeness,Unknown,Incomplete,36.397
./benchmarkTables/Table2_50.rt,Table2,UeArFs,completeness,Complete,Complete,0.944
./benchmarkTables/Table2_50.rt,Table2,UeArVs,completeness,Complete,Complete,0.916
./benchmarkTables/Table2_50.rt,Table2,UeUfFs,completeness,Complete,Complete,0.886
./benchmarkTables/Table2_50.rt,Table2,UeUfVs,completeness,Complete,Complete,0.926
./benchmarkTables/Table3_50.rt,Table3,UeArFs,completeness,Unknown,Incomplete,25.946
./benchmarkTables/Table3_50.rt,Table3,UeArVs,completeness,Unknown,Incomplete,29.631
./benchmarkTables/Table3_50.rt,Table3,UeUfFs,completeness,Unknown,Incomplete,22.750
./benchmarkTables/Table3_50.rt,Table3,UeUfVs,completeness,Unknown,Incomplete,64.611
./benchmarkTables/Table4_50.rt,Table4,UeArFs,completeness,Complete,Complete,0.918
./benchmarkTables/Table4_50.rt,Table4,UeArVs,completeness,Complete,Complete,0.955
./benchmarkTables/Table4_50.rt,Table4,UeUfFs,completeness,Complete,Complete,0.940
./benchmarkTables/Table4_50.rt,Table4,UeUfVs,completeness,Complete,Complete,0.919
./benchmarkTables/Table1_100.rt,Table1,UeArFs,completeness,Unknown,Incomplete,36.614
./benchmarkTables/Table1_100.rt,Table1,UeArVs,completeness,Unknown,Incomplete,29.298
./benchmarkTables/Table1_100.rt,Table1,UeUfFs,completeness,Unknown,Incomplete,22.367
./benchmarkTables/Table1_100.rt,Table1,UeUfVs,completeness,Unknown,Incomplete,55.111
./benchmarkTables/Table2_100.rt,Table2,UeArFs,completeness,Complete,Complete,0.921
./benchmarkTables/Table2_100.rt,Table2,UeArVs,completeness,Complete,Complete,0.917
./benchmarkTables/Table2_100.rt,Table2,UeUfFs,completeness,Complete,Complete,0.895
